,datasetID,eventID,occurrenceID,eventDate,verbatimDepth,decimalLatitude,decimalLongitude,scientificName,scientificNameID,taxonID,nomenclaturalCode,basisOfRecord
69,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_4403,2017-08-17T06:18:00,16,70.495,-160.6218,Pseudocalanus mimus,urn:lsid:marinespecies.org:taxname:355067,355067,WoRMS,HumanObservation
70,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_3350,2017-08-17T06:18:00,16,70.495,-160.6218,Harpacticoida,urn:lsid:marinespecies.org:taxname:1102,1102,WoRMS,HumanObservation
71,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_1272,2017-08-17T06:18:00,16,70.495,-160.6218,Evadne nordmanni,urn:lsid:marinespecies.org:taxname:106273,106273,WoRMS,HumanObservation
72,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_2169,2017-08-17T06:18:00,16,70.495,-160.6218,Echinodermata,urn:lsid:marinespecies.org:taxname:1806,1806,WoRMS,HumanObservation
73,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_8092,2017-08-17T06:18:00,16,70.495,-160.6218,Gastropoda,urn:lsid:marinespecies.org:taxname:101,101,WoRMS,HumanObservation
74,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_4290,2017-08-17T06:18:00,16,70.495,-160.6218,Cumacea,urn:lsid:marinespecies.org:taxname:1137,1137,WoRMS,HumanObservation
75,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_1058,2017-08-17T06:18:00,16,70.495,-160.6218,Decapoda,urn:lsid:marinespecies.org:taxname:113,113,WoRMS,HumanObservation
76,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_5855,2017-08-17T06:18:00,16,70.495,-160.6218,Echinodermata,urn:lsid:marinespecies.org:taxname:1806,1806,WoRMS,HumanObservation
77,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_1480,2017-08-17T06:18:00,16,70.495,-160.6218,Fritillaria borealis,urn:lsid:marinespecies.org:taxname:103375,103375,WoRMS,HumanObservation
78,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_7364,2017-08-17T06:18:00,16,70.495,-160.6218,Pseudocalanus acuspes,urn:lsid:marinespecies.org:taxname:104514,104514,WoRMS,HumanObservation
79,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_7204,2017-08-17T06:18:00,16,70.495,-160.6218,Pseudocalanus,urn:lsid:marinespecies.org:taxname:104165,104165,WoRMS,HumanObservation
80,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_4661,2017-08-17T06:18:00,16,70.495,-160.6218,Sipuncula,urn:lsid:marinespecies.org:taxname:1268,1268,WoRMS,HumanObservation
81,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_8818,2017-08-17T06:18:00,16,70.495,-160.6218,Parasagitta elegans,urn:lsid:marinespecies.org:taxname:10544,10544,WoRMS,HumanObservation
82,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_6875,2017-08-17T06:18:00,16,70.495,-160.6218,Pseudocalanus newmani,urn:lsid:marinespecies.org:taxname:157679,157679,WoRMS,HumanObservation
83,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_9171,2017-08-17T06:18:00,16,70.495,-160.6218,Podon leuckartii,urn:lsid:marinespecies.org:taxname:106277,106277,WoRMS,HumanObservation
84,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_9859,2017-08-17T06:18:00,16,70.495,-160.6218,Calanoida,urn:lsid:marinespecies.org:taxname:11,11,WoRMS,HumanObservation
85,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_3848,2017-08-17T06:18:00,16,70.495,-160.6218,Aglantha digitale,urn:lsid:marinespecies.org:taxname:117849,117849,WoRMS,HumanObservation
86,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_5486,2017-08-17T06:18:00,16,70.495,-160.6218,Parasagitta elegans,urn:lsid:marinespecies.org:taxname:10544,10544,WoRMS,HumanObservation
87,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_4344,2017-08-17T06:18:00,16,70.495,-160.6218,Cirripedia,urn:lsid:marinespecies.org:taxname:1082,1082,WoRMS,HumanObservation
88,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_8448,2017-08-17T06:18:00,16,70.495,-160.6218,Eurytemora herdmani,urn:lsid:marinespecies.org:taxname:15767,15767,WoRMS,HumanObservation
89,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_8537,2017-08-17T06:18:00,16,70.495,-160.6218,Bivalvia,urn:lsid:marinespecies.org:taxname:105,105,WoRMS,HumanObservation
90,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_4375,2017-08-17T06:18:00,16,70.495,-160.6218,Oithona similis,urn:lsid:marinespecies.org:taxname:106656,106656,WoRMS,HumanObservation
91,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_2115,2017-08-17T06:18:00,16,70.495,-160.6218,Pseudocalanus,urn:lsid:marinespecies.org:taxname:104165,104165,WoRMS,HumanObservation
92,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,AMBON_Zooplankton_2017_ML3.1_4278,2017-08-17T06:18:00,16,70.495,-160.6218,Cirripedia,urn:lsid:marinespecies.org:taxname:1082,1082,WoRMS,HumanObservation
